WBS ID,Milestone,Release,Type,Platform,Module,Task,Duration Days,Hours,Planned Start,Planned End,ES,EF,LS,LF,Total Float,Critical,Near Critical,Owner,Use Case,Predecessors
WBS-001,M0,R0 內部平台骨架,Release/Foundation,Cross,共用/Release,共用基礎與架構底座 - 共用建設與Release準備,22,1440,2026-09-01,2026-09-30,0,22,3,25,3,N,N,PM/PO / DevOps/SRE / QA,建立共用平台框架與登入權限; 建立可持續 release 的 DevOps/SRE 與測試流水線,
WBS-002,M0,R0 內部平台骨架,User Release Gate,Cross,Release,R0 內部平台骨架 - 使用者驗收、訓練與發布,5,336,2026-09-29,2026-10-05,20,25,20,25,0,Y,N,PM/PO / QA / DevOps/SRE / Scrum Master,建立共用平台框架與登入權限; 建立可持續 release 的 DevOps/SRE 與測試流水線,WBS-001(FF)
WBS-003,M1,R1 主檔與資料治理 Beta,Release/Foundation,Cross,共用/Release,模型與資料接入底座 - 共用建設與Release準備,9,560,2026-10-06,2026-10-16,25,34,96,105,71,N,N,PM/PO / DevOps/SRE / QA,新增客戶/工廠主檔與維度模型; 接入預測、訂單、BOM、供應網路等核心資料來源,WBS-002(FS)
WBS-004,M1,R1 主檔與資料治理 Beta,Capability Build,DM,統一需求模型,維度模型管理 - 建置與驗證,5,128,2026-10-06,2026-10-12,25,30,87,92,62,N,N,資料治理人員,維度模型管理 可用於「當需要處理「維度模型管理」時，使用者可透過此功能建立與維護模型/主檔，以完成與「維度模型管理」相關的日常作業。」等情境。,WBS-002(FS+0)
WBS-005,M1,R1 主檔與資料治理 Beta,Capability Build,DM,統一需求模型,需求類型管理 - 建置與驗證,5,128,2026-10-08,2026-10-14,27,32,89,94,62,N,N,資料治理人員,需求類型管理 可用於「當需要處理「需求類型管理」時，使用者可透過此功能建立與維護模型/主檔，以完成與「需求類型管理」相關的日常作業。」等情境。,WBS-004(SS+2)
WBS-006,M1,R1 主檔與資料治理 Beta,Capability Build,DM,統一需求模型,需求事件模型管理 - 建置與驗證,5,128,2026-10-13,2026-10-19,30,35,92,97,62,N,N,資料治理人員,需求事件模型管理 可用於「當需要處理「需求事件模型管理」時，使用者可透過此功能建立與維護模型/主檔，以完成與「需求事件模型管理」相關的日常作業。」等情境。,WBS-005(SS+3)
WBS-007,M1,R1 主檔與資料治理 Beta,Capability Build,DM,統一需求模型,指標與Key Figure管理 - 建置與驗證,5,124,2026-10-15,2026-10-21,32,37,94,99,62,N,N,資料治理人員,指標與Key Figure管理 可用於「當需要處理「指標與Key Figure管理」時，使用者可透過此功能建立與設定，以完成與「指標與Key Figure管理」相關的日常作業。」等情境。,WBS-006(SS+2)
WBS-008,M1,R1 主檔與資料治理 Beta,Capability Build,DM,統一需求模型,版本與情境模型管理 - 建置與驗證,5,132,2026-10-20,2026-10-26,35,40,97,102,62,N,N,資料治理人員,版本與情境模型管理 可用於「當需要處理「版本與情境模型管理」時，使用者可透過此功能建立與維護模型/主檔，以完成與「版本與情境模型管理」相關的日常作業。」等情境。,WBS-007(SS+3)
WBS-009,M1,R1 主檔與資料治理 Beta,Capability Build,DM,統一需求模型,模型發布與治理 - 建置與驗證,6,144,2026-10-22,2026-10-29,37,43,99,105,62,N,N,資料治理人員,模型發布與治理 可用於「當需要處理「模型發布與治理」時，使用者可透過此功能建立發布清單，以完成與「模型發布與治理」相關的日常作業。」等情境。,WBS-008(SS+2)
WBS-010,M1,R1 主檔與資料治理 Beta,Capability Build,DM,需求資料交換,資料來源管理 - 建置與驗證,5,140,2026-10-27,2026-11-02,40,45,84,89,44,N,N,資料整合工程師,資料來源管理 可用於「當需要處理「資料來源管理」時，使用者可透過此功能登錄來源系統，以完成與「資料來源管理」相關的日常作業。」等情境。,WBS-002(FS+15)
WBS-011,M1,R1 主檔與資料治理 Beta,Capability Build,DM,需求資料交換,資料接入流程設計 - 建置與驗證,6,152,2026-10-29,2026-11-05,42,48,86,92,44,N,N,資料整合工程師,資料接入流程設計 可用於「當需要處理「資料接入流程設計」時，使用者可透過此功能建立接入流程，以完成與「資料接入流程設計」相關的日常作業。」等情境。,WBS-010(SS+2)
